"Institusjonskode";"Institusjonsnavn";"Avdelingskode";"Avdelingsnavn";"Årstall";"Semester";"Semesternavn";"Studentkategori";"Kategoritekst";"Antall totalt";"Antall kvinner";"Antall menn"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2019";"3";"Høst";"P";"Personer uten studierett";"6";"0";"0"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2020";"1";"Vår";"S";"Studenter";"3";"0";"0"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2019";"1";"Vår";"S";"Studenter";"0";"0";"0"
"0217";"Samisk høgskole";"000000";"SH (uspesifisert underenhet)";"2019";"3";"Høst";"S";"Studenter";"9";"0";"0"
"0217";"Samisk høgskole";"510000";"Institutt for samiske lærerutdanninger og urfolksjournalistikk";"2019";"3";"Høst";"S";"Studenter";"78";"66";"12"
"0217";"Samisk høgskole";"510000";"Institutt for samiske lærerutdanninger og urfolksjournalistikk";"2019";"1";"Vår";"S";"Studenter";"143";"122";"21"
"0217";"Samisk høgskole";"510000";"Institutt for samiske lærerutdanninger og urfolksjournalistikk";"2020";"1";"Vår";"S";"Studenter";"81";"73";"8"
"0217";"Samisk høgskole";"520000";"Institutt for språk, duodji, reindrift og samfunnsvitenskap";"2020";"1";"Vår";"S";"Studenter";"63";"49";"14"
"0217";"Samisk høgskole";"520000";"Institutt for språk, duodji, reindrift og samfunnsvitenskap";"2019";"1";"Vår";"S";"Studenter";"86";"69";"17"
"0217";"Samisk høgskole";"520000";"Institutt for språk, duodji, reindrift og samfunnsvitenskap";"2019";"3";"Høst";"S";"Studenter";"86";"68";"18"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"440000";"Avdeling for helse- og sosialfag";"2019";"1";"Vår";"S";"Studenter";"824";"678";"146"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"440000";"Avdeling for helse- og sosialfag";"2020";"1";"Vår";"S";"Studenter";"918";"740";"178"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"440000";"Avdeling for helse- og sosialfag";"2019";"3";"Høst";"S";"Studenter";"893";"711";"182"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"461000";"Avdeling for logistikk";"2019";"3";"Høst";"S";"Studenter";"759";"261";"498"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"461000";"Avdeling for logistikk";"2020";"1";"Vår";"S";"Studenter";"603";"220";"383"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"461000";"Avdeling for logistikk";"2019";"1";"Vår";"S";"Studenter";"509";"184";"325"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2019";"1";"Vår";"S";"Studenter";"731";"408";"323"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2020";"1";"Vår";"S";"Studenter";"754";"390";"364"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"462000";"Avdeling for økonomi og samfunnsvitenskap";"2019";"3";"Høst";"S";"Studenter";"837";"439";"398"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"475000";"Enhet for utadrettet virksomhet";"2019";"3";"Høst";"S";"Studenter";"12";"5";"7"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"475000";"Enhet for utadrettet virksomhet";"2019";"1";"Vår";"S";"Studenter";"13";"7";"6"
"0232";"Høgskolen i Molde, vitenskapelig høgskole i logistikk";"475000";"Enhet for utadrettet virksomhet";"2020";"1";"Vår";"S";"Studenter";"5";"0";"0"
"0236";"Høgskulen i Volda";"000000";"HiVo (uspesifisert underenhet)";"2019";"1";"Vår";"S";"Studenter";"81";"55";"26"
"0236";"Høgskulen i Volda";"000000";"HiVo (uspesifisert underenhet)";"2020";"1";"Vår";"S";"Studenter";"84";"67";"17"
"0236";"Høgskulen i Volda";"000000";"HiVo (uspesifisert underenhet)";"2019";"3";"Høst";"S";"Studenter";"100";"79";"21"
"0236";"Høgskulen i Volda";"415000";"Avdeling for kulturfag";"2019";"3";"Høst";"S";"Studenter";"531";"297";"234"
"0236";"Høgskulen i Volda";"415000";"Avdeling for kulturfag";"2020";"1";"Vår";"S";"Studenter";"419";"235";"184"
"0236";"Høgskulen i Volda";"415000";"Avdeling for kulturfag";"2019";"1";"Vår";"S";"Studenter";"333";"157";"176"
"0236";"Høgskulen i Volda";"423000";"Avdeling for samfunnsfag og historie";"2019";"1";"Vår";"S";"Studenter";"1100";"793";"307"
"0236";"Høgskulen i Volda";"423000";"Avdeling for samfunnsfag og historie";"2020";"1";"Vår";"S";"Studenter";"1011";"717";"294"
"0236";"Høgskulen i Volda";"423000";"Avdeling for samfunnsfag og historie";"2019";"3";"Høst";"S";"Studenter";"1195";"835";"360"
"0236";"Høgskulen i Volda";"425000";"Avdeling for mediefag";"2019";"3";"Høst";"S";"Studenter";"619";"326";"293"
"0236";"Høgskulen i Volda";"425000";"Avdeling for mediefag";"2020";"1";"Vår";"S";"Studenter";"722";"428";"294"
"0236";"Høgskulen i Volda";"425000";"Avdeling for mediefag";"2019";"1";"Vår";"S";"Studenter";"574";"301";"273"
"0236";"Høgskulen i Volda";"426000";"Avdeling for humanistiske fag og lærarutdanning";"2019";"1";"Vår";"S";"Studenter";"1620";"1245";"375"
"0236";"Høgskulen i Volda";"426000";"Avdeling for humanistiske fag og lærarutdanning";"2020";"1";"Vår";"S";"Studenter";"1900";"1461";"439"
"0236";"Høgskulen i Volda";"426000";"Avdeling for humanistiske fag og lærarutdanning";"2019";"3";"Høst";"S";"Studenter";"2054";"1572";"482"
"0238";"Høgskulen på Vestlandet";"210000";"Fakultet for helse- og sosialvitskap";"2019";"3";"Høst";"S";"Studenter";"155";"141";"14"
"0238";"Høgskulen på Vestlandet";"210000";"Fakultet for helse- og sosialvitskap";"2020";"1";"Vår";"S";"Studenter";"89";"83";"6"
"0238";"Høgskulen på Vestlandet";"210000";"Fakultet for helse- og sosialvitskap";"2019";"1";"Vår";"S";"Studenter";"106";"99";"7"
"0238";"Høgskulen på Vestlandet";"210210";"Institutt for helse- og omsorgsvitskap";"2019";"1";"Vår";"S";"Studenter";"2596";"2278";"318"
"0238";"Høgskulen på Vestlandet";"210210";"Institutt for helse- og omsorgsvitskap";"2020";"1";"Vår";"S";"Studenter";"2642";"2312";"330"
"0238";"Høgskulen på Vestlandet";"210210";"Institutt for helse- og omsorgsvitskap";"2019";"3";"Høst";"S";"Studenter";"2817";"2468";"349"
"0238";"Høgskulen på Vestlandet";"210220";"Institutt for helse og funksjon";"2019";"3";"Høst";"S";"Studenter";"475";"340";"135"
"0238";"Høgskulen på Vestlandet";"210220";"Institutt for helse og funksjon";"2020";"1";"Vår";"S";"Studenter";"457";"333";"124"
"0238";"Høgskulen på Vestlandet";"210220";"Institutt for helse og funksjon";"2019";"1";"Vår";"S";"Studenter";"510";"376";"134"
"0238";"Høgskulen på Vestlandet";"210230";"Institutt for velferd og deltaking";"2020";"1";"Vår";"S";"Studenter";"1157";"951";"206"
"0238";"Høgskulen på Vestlandet";"210230";"Institutt for velferd og deltaking";"2019";"1";"Vår";"S";"Studenter";"1097";"887";"210"
"0238";"Høgskulen på Vestlandet";"210230";"Institutt for velferd og deltaking";"2019";"3";"Høst";"S";"Studenter";"1210";"993";"217"
"0238";"Høgskulen på Vestlandet";"210260";"Senter for kunnskapsbasert praksis";"2019";"3";"Høst";"S";"Studenter";"63";"53";"10"
"0238";"Høgskulen på Vestlandet";"210260";"Senter for kunnskapsbasert praksis";"2019";"1";"Vår";"S";"Studenter";"39";"33";"6"
"0238";"Høgskulen på Vestlandet";"210260";"Senter for kunnskapsbasert praksis";"2020";"1";"Vår";"S";"Studenter";"54";"45";"9"
"0238";"Høgskulen på Vestlandet";"220000";"Fakultet for ingeniør- og naturvitskap";"2020";"1";"Vår";"S";"Studenter";"223";"102";"121"
"0238";"Høgskulen på Vestlandet";"220000";"Fakultet for ingeniør- og naturvitskap";"2019";"1";"Vår";"S";"Studenter";"212";"77";"135"
"0238";"Høgskulen på Vestlandet";"220000";"Fakultet for ingeniør- og naturvitskap";"2019";"3";"Høst";"S";"Studenter";"222";"67";"155"
"0238";"Høgskulen på Vestlandet";"220210";"Institutt for maskin- og marinfag";"2019";"3";"Høst";"S";"Studenter";"589";"135";"454"
"0238";"Høgskulen på Vestlandet";"220210";"Institutt for maskin- og marinfag";"2019";"1";"Vår";"S";"Studenter";"567";"135";"432"
"0238";"Høgskulen på Vestlandet";"220210";"Institutt for maskin- og marinfag";"2020";"1";"Vår";"S";"Studenter";"528";"121";"407"
"0238";"Høgskulen på Vestlandet";"220220";"Institutt for byggfag";"2020";"1";"Vår";"S";"Studenter";"531";"160";"371"
"0238";"Høgskulen på Vestlandet";"220220";"Institutt for byggfag";"2019";"1";"Vår";"S";"Studenter";"709";"207";"502"
"0238";"Høgskulen på Vestlandet";"220220";"Institutt for byggfag";"2019";"3";"Høst";"S";"Studenter";"613";"176";"437"
"0238";"Høgskulen på Vestlandet";"220230";"Institutt for miljø- og naturvitskap";"2019";"3";"Høst";"S";"Studenter";"316";"152";"164"
"0238";"Høgskulen på Vestlandet";"220230";"Institutt for miljø- og naturvitskap";"2019";"1";"Vår";"S";"Studenter";"256";"116";"140"
"0238";"Høgskulen på Vestlandet";"220230";"Institutt for miljø- og naturvitskap";"2020";"1";"Vår";"S";"Studenter";"283";"138";"145"
"0238";"Høgskulen på Vestlandet";"220240";"Institutt for data- og realfag";"2019";"1";"Vår";"A";"Andre";"166";"30";"136"
"0238";"Høgskulen på Vestlandet";"220240";"Institutt for data- og realfag";"2019";"1";"Vår";"S";"Studenter";"369";"60";"309"
"0238";"Høgskulen på Vestlandet";"220250";"Institutt for bio- og kjemiingeniørfag";"2019";"1";"Vår";"S";"Studenter";"235";"171";"64"
"0238";"Høgskulen på Vestlandet";"220260";"Institutt for elektrofag";"2019";"1";"Vår";"S";"Studenter";"420";"50";"370"
"0238";"Høgskulen på Vestlandet";"220270";"Institutt for brannsikkerheit og HMS";"2019";"1";"Vår";"S";"Studenter";"208";"81";"127"
"0238";"Høgskulen på Vestlandet";"220280";"Dykkarutdanninga";"2019";"1";"Vår";"A";"Andre";"39";"4";"35"
"0238";"Høgskulen på Vestlandet";"220290";"Mohnsenteret for innovasjon og regional utvikling";"2019";"1";"Vår";"S";"Studenter";"31";"12";"19"
"0238";"Høgskulen på Vestlandet";"220290";"Mohnsenteret for innovasjon og regional utvikling";"2020";"1";"Vår";"S";"Studenter";"20";"10";"10"
"0238";"Høgskulen på Vestlandet";"220290";"Mohnsenteret for innovasjon og regional utvikling";"2019";"3";"Høst";"S";"Studenter";"21";"10";"11"
"0238";"Høgskulen på Vestlandet";"220310";"Institutt for datateknologi, elektroteknologi og realfag";"2019";"3";"Høst";"S";"Studenter";"917";"123";"794"
"0238";"Høgskulen på Vestlandet";"220310";"Institutt for datateknologi, elektroteknologi og realfag";"2020";"1";"Vår";"S";"Studenter";"832";"115";"717"
"0238";"Høgskulen på Vestlandet";"220310";"Institutt for datateknologi, elektroteknologi og realfag";"2019";"3";"Høst";"A";"Andre";"96";"16";"80"
"0238";"Høgskulen på Vestlandet";"220310";"Institutt for datateknologi, elektroteknologi og realfag";"2020";"1";"Vår";"A";"Andre";"188";"47";"141"
"0238";"Høgskulen på Vestlandet";"220320";"Institutt for sikkerhet, kjemi- og bioingeniørfag";"2020";"1";"Vår";"S";"Studenter";"354";"206";"148"
"0238";"Høgskulen på Vestlandet";"220320";"Institutt for sikkerhet, kjemi- og bioingeniørfag";"2019";"3";"Høst";"S";"Studenter";"370";"220";"150"
"0238";"Høgskulen på Vestlandet";"230000";"Fakultet for lærarutdanning, kultur og idrett";"2019";"1";"Vår";"S";"Studenter";"3328";"2502";"826"
"0238";"Høgskulen på Vestlandet";"230000";"Fakultet for lærarutdanning, kultur og idrett";"2020";"1";"Vår";"S";"Studenter";"3511";"2629";"882"
"0238";"Høgskulen på Vestlandet";"230000";"Fakultet for lærarutdanning, kultur og idrett";"2020";"1";"Vår";"P";"Personer uten studierett";"3";"0";"0"
"0238";"Høgskulen på Vestlandet";"230000";"Fakultet for lærarutdanning, kultur og idrett";"2019";"3";"Høst";"S";"Studenter";"3906";"2926";"980"
"0238";"Høgskulen på Vestlandet";"230210";"Institutt for idrett, kosthald og naturfag";"2019";"3";"Høst";"S";"Studenter";"631";"287";"344"
"0238";"Høgskulen på Vestlandet";"230210";"Institutt for idrett, kosthald og naturfag";"2020";"1";"Vår";"S";"Studenter";"576";"265";"311"
"0238";"Høgskulen på Vestlandet";"230210";"Institutt for idrett, kosthald og naturfag";"2019";"1";"Vår";"S";"Studenter";"586";"256";"330"
"0238";"Høgskulen på Vestlandet";"230220";"Institutt for pedagogikk, religion og samfunnsfag";"2019";"1";"Vår";"S";"Studenter";"1099";"712";"387"
"0238";"Høgskulen på Vestlandet";"230220";"Institutt for pedagogikk, religion og samfunnsfag";"2020";"1";"Vår";"S";"Studenter";"1103";"749";"354"
"0238";"Høgskulen på Vestlandet";"230220";"Institutt for pedagogikk, religion og samfunnsfag";"2019";"3";"Høst";"S";"Studenter";"1210";"810";"400"
"0238";"Høgskulen på Vestlandet";"230230";"Institutt for språk, litteratur, matematikk og tolking";"2020";"1";"Vår";"S";"Studenter";"764";"615";"149"
"0238";"Høgskulen på Vestlandet";"230230";"Institutt for språk, litteratur, matematikk og tolking";"2019";"3";"Høst";"S";"Studenter";"805";"644";"161"
"0238";"Høgskulen på Vestlandet";"230230";"Institutt for språk, litteratur, matematikk og tolking";"2019";"1";"Vår";"S";"Studenter";"838";"681";"157"
"0238";"Høgskulen på Vestlandet";"230240";"Institutt for kunstfag";"2019";"1";"Vår";"S";"Studenter";"127";"77";"50"
"0238";"Høgskulen på Vestlandet";"230240";"Institutt for kunstfag";"2020";"1";"Vår";"S";"Studenter";"113";"68";"45"
"0238";"Høgskulen på Vestlandet";"230240";"Institutt for kunstfag";"2019";"3";"Høst";"S";"Studenter";"135";"85";"50"
"0238";"Høgskulen på Vestlandet";"240000";"Fakultet for økonomi og samfunnsvitskap";"2019";"1";"Vår";"S";"Studenter";"38";"27";"11"
"0238";"Høgskulen på Vestlandet";"240000";"Fakultet for økonomi og samfunnsvitskap";"2019";"3";"Høst";"S";"Studenter";"17";"5";"12"
"0238";"Høgskulen på Vestlandet";"240000";"Fakultet for økonomi og samfunnsvitskap";"2020";"1";"Vår";"S";"Studenter";"56";"36";"20"
"0238";"Høgskulen på Vestlandet";"240210";"Institutt for maritime studier";"2019";"1";"Vår";"S";"Studenter";"221";"46";"175"
"0238";"Høgskulen på Vestlandet";"240210";"Institutt for maritime studier";"2020";"1";"Vår";"S";"Studenter";"209";"33";"176"
"0238";"Høgskulen på Vestlandet";"240210";"Institutt for maritime studier";"2019";"3";"Høst";"S";"Studenter";"217";"34";"183"
"0238";"Høgskulen på Vestlandet";"240220";"Institutt for økonomi og administrasjon";"2019";"3";"Høst";"S";"Studenter";"1504";"762";"742"
"0238";"Høgskulen på Vestlandet";"240220";"Institutt for økonomi og administrasjon";"2020";"1";"Vår";"S";"Studenter";"1327";"653";"674"
"0238";"Høgskulen på Vestlandet";"240220";"Institutt for økonomi og administrasjon";"2019";"1";"Vår";"S";"Studenter";"1383";"705";"678"
"0238";"Høgskulen på Vestlandet";"240220";"Institutt for økonomi og administrasjon";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0238";"Høgskulen på Vestlandet";"240220";"Institutt for økonomi og administrasjon";"2019";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0238";"Høgskulen på Vestlandet";"240230";"Institutt for samfunnsvitskap";"2020";"1";"Vår";"S";"Studenter";"369";"261";"108"
"0238";"Høgskulen på Vestlandet";"240230";"Institutt for samfunnsvitskap";"2019";"1";"Vår";"S";"Studenter";"315";"234";"81"
"0238";"Høgskulen på Vestlandet";"240230";"Institutt for samfunnsvitskap";"2019";"3";"Høst";"S";"Studenter";"398";"283";"115"
"0256";"Høgskolen i Østfold";"000000";"HiØ (uspesifisert underenhet)";"2019";"3";"Høst";"S";"Studenter";"0";"0";"0"
"0256";"Høgskolen i Østfold";"000000";"HiØ (uspesifisert underenhet)";"2019";"1";"Vår";"S";"Studenter";"3";"0";"0"
"0256";"Høgskolen i Østfold";"000000";"HiØ (uspesifisert underenhet)";"2019";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"430000";"Avdeling for lærerutdanning";"2019";"3";"Høst";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"430000";"Avdeling for lærerutdanning";"2020";"1";"Vår";"S";"Studenter";"1817";"1361";"456"
"0256";"Høgskolen i Østfold";"430000";"Avdeling for lærerutdanning";"2019";"1";"Vår";"S";"Studenter";"1871";"1369";"502"
"0256";"Høgskolen i Østfold";"430000";"Avdeling for lærerutdanning";"2019";"3";"Høst";"S";"Studenter";"1983";"1476";"507"
"0256";"Høgskolen i Østfold";"440000";"Avdeling for helse- og sosialfag";"2019";"3";"Høst";"S";"Studenter";"1732";"1452";"280"
"0256";"Høgskolen i Østfold";"440000";"Avdeling for helse- og sosialfag";"2019";"1";"Vår";"S";"Studenter";"1578";"1318";"260"
"0256";"Høgskolen i Østfold";"440000";"Avdeling for helse- og sosialfag";"2020";"1";"Vår";"S";"Studenter";"1654";"1386";"268"
"0256";"Høgskolen i Østfold";"440000";"Avdeling for helse- og sosialfag";"2019";"3";"Høst";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2020";"1";"Vår";"A";"Andre";"72";"8";"64"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2019";"1";"Vår";"A";"Andre";"64";"12";"52"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2019";"3";"Høst";"A";"Andre";"43";"0";"0"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2019";"3";"Høst";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2020";"1";"Vår";"S";"Studenter";"626";"211";"415"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2019";"1";"Vår";"S";"Studenter";"624";"183";"441"
"0256";"Høgskolen i Østfold";"450000";"Avdeling for ingeniørfag";"2019";"3";"Høst";"S";"Studenter";"697";"220";"477"
"0256";"Høgskolen i Østfold";"455000";"Avdeling for informasjonsteknologi";"2019";"3";"Høst";"S";"Studenter";"746";"126";"620"
"0256";"Høgskolen i Østfold";"455000";"Avdeling for informasjonsteknologi";"2019";"1";"Vår";"S";"Studenter";"598";"109";"489"
"0256";"Høgskolen i Østfold";"455000";"Avdeling for informasjonsteknologi";"2020";"1";"Vår";"S";"Studenter";"683";"122";"561"
"0256";"Høgskolen i Østfold";"455000";"Avdeling for informasjonsteknologi";"2019";"3";"Høst";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"460000";"Avdeling for økonomi, språk og samfunnsfag";"2019";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"460000";"Avdeling for økonomi, språk og samfunnsfag";"2020";"1";"Vår";"S";"Studenter";"1165";"757";"408"
"0256";"Høgskolen i Østfold";"460000";"Avdeling for økonomi, språk og samfunnsfag";"2019";"1";"Vår";"S";"Studenter";"1129";"707";"422"
"0256";"Høgskolen i Østfold";"460000";"Avdeling for økonomi, språk og samfunnsfag";"2019";"3";"Høst";"S";"Studenter";"1429";"924";"505"
"0256";"Høgskolen i Østfold";"470000";"Akademi for scenekunst";"2019";"3";"Høst";"S";"Studenter";"33";"23";"10"
"0256";"Høgskolen i Østfold";"470000";"Akademi for scenekunst";"2019";"1";"Vår";"S";"Studenter";"24";"18";"6"
"0256";"Høgskolen i Østfold";"470000";"Akademi for scenekunst";"2020";"1";"Vår";"S";"Studenter";"31";"22";"9"
"0256";"Høgskolen i Østfold";"510000";"HiØ VIDERE";"2020";"1";"Vår";"S";"Studenter";"481";"387";"94"
"0256";"Høgskolen i Østfold";"510000";"HiØ VIDERE";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"510000";"HiØ VIDERE";"2019";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0256";"Høgskolen i Østfold";"510000";"HiØ VIDERE";"2019";"1";"Vår";"S";"Studenter";"660";"488";"172"
"0256";"Høgskolen i Østfold";"510000";"HiØ VIDERE";"2019";"3";"Høst";"S";"Studenter";"529";"412";"117"
"0264";"Høgskolen i Innlandet";"000000";"Høgskolen i Innlandet (uspesifisert underenhet)";"2019";"3";"Høst";"S";"Studenter";"12";"0";"0"
"0264";"Høgskolen i Innlandet";"000000";"Høgskolen i Innlandet (uspesifisert underenhet)";"2019";"1";"Vår";"S";"Studenter";"35";"28";"7"
"0264";"Høgskolen i Innlandet";"000000";"Høgskolen i Innlandet (uspesifisert underenhet)";"2020";"1";"Vår";"S";"Studenter";"52";"44";"8"
"0264";"Høgskolen i Innlandet";"410100";"Institutt for bioteknologi";"2020";"1";"Vår";"S";"Studenter";"46";"28";"18"
"0264";"Høgskolen i Innlandet";"410100";"Institutt for bioteknologi";"2019";"1";"Vår";"S";"Studenter";"43";"22";"21"
"0264";"Høgskolen i Innlandet";"410100";"Institutt for bioteknologi";"2019";"3";"Høst";"S";"Studenter";"61";"38";"23"
"0264";"Høgskolen i Innlandet";"410200";"Institutt for jordbruksfag";"2019";"3";"Høst";"S";"Studenter";"245";"112";"133"
"0264";"Høgskolen i Innlandet";"410200";"Institutt for jordbruksfag";"2019";"1";"Vår";"S";"Studenter";"232";"115";"117"
"0264";"Høgskolen i Innlandet";"410200";"Institutt for jordbruksfag";"2020";"1";"Vår";"S";"Studenter";"226";"105";"121"
"0264";"Høgskolen i Innlandet";"410300";"Institutt for skog- og utmarksfag";"2019";"1";"Vår";"S";"Studenter";"185";"64";"121"
"0264";"Høgskolen i Innlandet";"410300";"Institutt for skog- og utmarksfag";"2020";"1";"Vår";"S";"Studenter";"217";"68";"149"
"0264";"Høgskolen i Innlandet";"410300";"Institutt for skog- og utmarksfag";"2019";"3";"Høst";"S";"Studenter";"206";"61";"145"
"0264";"Høgskolen i Innlandet";"420100";"Institutt for TV-utdanninger - TV-skolen";"2019";"3";"Høst";"S";"Studenter";"170";"70";"100"
"0264";"Høgskolen i Innlandet";"420100";"Institutt for TV-utdanninger - TV-skolen";"2019";"1";"Vår";"S";"Studenter";"163";"73";"90"
"0264";"Høgskolen i Innlandet";"420100";"Institutt for TV-utdanninger - TV-skolen";"2020";"1";"Vår";"S";"Studenter";"170";"70";"100"
"0264";"Høgskolen i Innlandet";"420200";"Institutt for spillutdanninger - Spillskolen";"2020";"1";"Vår";"S";"Studenter";"247";"93";"154"
"0264";"Høgskolen i Innlandet";"420200";"Institutt for spillutdanninger - Spillskolen";"2019";"1";"Vår";"S";"Studenter";"256";"101";"155"
"0264";"Høgskolen i Innlandet";"420200";"Institutt for spillutdanninger - Spillskolen";"2019";"3";"Høst";"S";"Studenter";"273";"97";"176"
"0264";"Høgskolen i Innlandet";"420300";"Faggruppe film-og fjernsynsvitenskap";"2019";"3";"Høst";"S";"Studenter";"44";"19";"25"
"0264";"Høgskolen i Innlandet";"420300";"Faggruppe film-og fjernsynsvitenskap";"2019";"1";"Vår";"S";"Studenter";"73";"26";"47"
"0264";"Høgskolen i Innlandet";"420300";"Faggruppe film-og fjernsynsvitenskap";"2020";"1";"Vår";"S";"Studenter";"36";"11";"25"
"0264";"Høgskolen i Innlandet";"430000";"Den norske filmskolen";"2020";"1";"Vår";"S";"Studenter";"117";"61";"56"
"0264";"Høgskolen i Innlandet";"430000";"Den norske filmskolen";"2019";"1";"Vår";"S";"Studenter";"71";"37";"34"
"0264";"Høgskolen i Innlandet";"430000";"Den norske filmskolen";"2019";"3";"Høst";"S";"Studenter";"122";"64";"58"
"0264";"Høgskolen i Innlandet";"440100";"Institutt for reiseliv, opplevelsesnæringer og markedsføring";"2019";"3";"Høst";"S";"Studenter";"702";"391";"311"
"0264";"Høgskolen i Innlandet";"440100";"Institutt for reiseliv, opplevelsesnæringer og markedsføring";"2019";"1";"Vår";"S";"Studenter";"691";"400";"291"
"0264";"Høgskolen i Innlandet";"440100";"Institutt for reiseliv, opplevelsesnæringer og markedsføring";"2020";"1";"Vår";"S";"Studenter";"676";"394";"282"
"0264";"Høgskolen i Innlandet";"440300";"Institutt for psykologi";"2019";"1";"Vår";"S";"Studenter";"359";"273";"86"
"0264";"Høgskolen i Innlandet";"440300";"Institutt for psykologi";"2020";"1";"Vår";"S";"Studenter";"393";"290";"103"
"0264";"Høgskolen i Innlandet";"440300";"Institutt for psykologi";"2019";"3";"Høst";"S";"Studenter";"411";"301";"110"
"0264";"Høgskolen i Innlandet";"440400";"Institutt for økonomifag";"2019";"3";"Høst";"S";"Studenter";"1545";"838";"707"
"0264";"Høgskolen i Innlandet";"440400";"Institutt for økonomifag";"2019";"1";"Vår";"S";"Studenter";"1285";"703";"582"
"0264";"Høgskolen i Innlandet";"440400";"Institutt for økonomifag";"2020";"1";"Vår";"S";"Studenter";"1244";"650";"594"
"0264";"Høgskolen i Innlandet";"440400";"Institutt for økonomifag";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0264";"Høgskolen i Innlandet";"440500";"Institutt for organisasjon, ledelse og styring";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0264";"Høgskolen i Innlandet";"440500";"Institutt for organisasjon, ledelse og styring";"2020";"1";"Vår";"S";"Studenter";"2424";"1517";"907"
"0264";"Høgskolen i Innlandet";"440500";"Institutt for organisasjon, ledelse og styring";"2019";"3";"Høst";"S";"Studenter";"2784";"1750";"1034"
"0264";"Høgskolen i Innlandet";"440500";"Institutt for organisasjon, ledelse og styring";"2019";"1";"Vår";"S";"Studenter";"2056";"1277";"779"
"0264";"Høgskolen i Innlandet";"440700";"Institutt for rettsvitenskap, filosofi og internasjonale studier";"2019";"1";"Vår";"S";"Studenter";"726";"462";"264"
"0264";"Høgskolen i Innlandet";"440700";"Institutt for rettsvitenskap, filosofi og internasjonale studier";"2020";"1";"Vår";"P";"Personer uten studierett";"0";"0";"0"
"0264";"Høgskolen i Innlandet";"440700";"Institutt for rettsvitenskap, filosofi og internasjonale studier";"2020";"1";"Vår";"S";"Studenter";"736";"485";"251"
"0264";"Høgskolen i Innlandet";"440700";"Institutt for rettsvitenskap, filosofi og internasjonale studier";"2019";"3";"Høst";"P";"Personer uten studierett";"0";"0";"0"
"0264";"Høgskolen i Innlandet";"440700";"Institutt for rettsvitenskap, filosofi og internasjonale studier";"2019";"3";"Høst";"S";"Studenter";"751";"489";"262"
"0264";"Høgskolen i Innlandet";"450000";"Fakultet for helse- og sosialvitenskap";"2019";"3";"Høst";"S";"Studenter";"402";"299";"103"
"0264";"Høgskolen i Innlandet";"450000";"Fakultet for helse- og sosialvitenskap";"2020";"1";"Vår";"S";"Studenter";"329";"253";"76"
"0264";"Høgskolen i Innlandet";"450000";"Fakultet for helse- og sosialvitenskap";"2019";"1";"Vår";"S";"Studenter";"525";"402";"123"
"0264";"Høgskolen i Innlandet";"450600";"Institutt for helse- og sykepleievitenskap";"2019";"1";"Vår";"S";"Studenter";"1109";"950";"159"
