"Kommunenummer campus";"Årstall";"Institusjonskode";"Antall";"Stednavn campus";"Studieprogramkode";"Semester"
"0101";"2018";"0256";"0";"Halden/Remmen";"BOKAD";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"BREV";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"DATY";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"EKSIT";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"FORGLU";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"HMA2";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"HN1";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"ITBINF";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"ITMAI";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"MATTE";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"MEN";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"PEDVEILM";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"PPD";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"PPDY";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"S858O-KK";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"S861O-KK";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"UTVLU";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"FRANSKP";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"HMA1";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"HNORSKP";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"ITDM";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"ITMACS-D";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"ITMAI";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"MBHGPED";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"MNORSK";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"MST";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"PPDY";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"S828O";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"S869O";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"S905A";"3"
"0101";"2018";"0256";"0";"Halden/Remmen";"TYP";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"BOKAD";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"HMA1";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"MST";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"NORSK";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"PPDY";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"S618O-KK";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"S619O-KK";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"S620O-KK";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"S994A";"3"
"0101";"2018";"0256";"3";"Halden/Remmen";"UTVIT";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"HN2";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"ITBINF";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"ITDM";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"MFRSPR";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"S859O-KK";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"S863O-KK";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"S927A";"3"
"0101";"2018";"0256";"4";"Halden/Remmen";"SPANSKP";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"HNORSKP";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"ITMACS-D";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"MATTE";"3"
"0101";"2018";"0256";"10";"Halden/Remmen";"PPDY";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"S613K";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"S617O-KK";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"S859O-KK";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"S906A";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"S921A";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"S966A";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"TDAT";"3"
"0101";"2018";"0256";"5";"Halden/Remmen";"UTVIT";"3"
"0101";"2018";"0256";"6";"Halden/Remmen";"FRANSKP";"3"
"0101";"2018";"0256";"6";"Halden/Remmen";"HN1";"3"
"0101";"2018";"0256";"6";"Halden/Remmen";"MNORSK-D";"3"
"0101";"2018";"0256";"6";"Halden/Remmen";"S872O";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"DAT";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"EKSIT";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"KHV";"3"
"0101";"2018";"0256";"14";"Halden/Remmen";"MUS";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"S619O-KK";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"S622O-KK";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"S858O-KK";"3"
"0101";"2018";"0256";"7";"Halden/Remmen";"S861O-KK";"3"
"0101";"2018";"0256";"8";"Halden/Remmen";"ITMACS";"3"
"0101";"2018";"0256";"8";"Halden/Remmen";"MFRSPR";"3"
"0101";"2018";"0256";"8";"Halden/Remmen";"PPDY";"3"
"0101";"2018";"0256";"8";"Halden/Remmen";"S620O-KK";"3"
"0101";"2018";"0256";"8";"Halden/Remmen";"S622O-KK";"3"
"0101";"2018";"0256";"8";"Halden/Remmen";"UTVLU";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"ITEKAA";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"RLE";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"S864O";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"S867O-KK";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"S871O";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"S905A";"3"
"0101";"2018";"0256";"9";"Halden/Remmen";"SAM";"3"
"0101";"2018";"0256";"10";"Halden/Remmen";"EKSSF";"3"
"0101";"2018";"0256";"10";"Halden/Remmen";"IDR";"3"
"0101";"2018";"0256";"10";"Halden/Remmen";"MEN";"3"
"0101";"2018";"0256";"10";"Halden/Remmen";"MNORSK";"3"
"0101";"2018";"0256";"10";"Halden/Remmen";"S867O-KK";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"BEDOK";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"BOKAD";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"GLU1-7";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"ITBDM";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"KHV";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"S855O-KK";"3"
"0101";"2018";"0256";"11";"Halden/Remmen";"S871O";"3"
"0101";"2018";"0256";"12";"Halden/Remmen";"BOKAD";"3"
"0101";"2018";"0256";"12";"Halden/Remmen";"S613K";"3"
"0101";"2018";"0256";"12";"Halden/Remmen";"S869O";"3"
"0101";"2018";"0256";"13";"Halden/Remmen";"IDR";"3"
"0101";"2018";"0256";"13";"Halden/Remmen";"NORSK";"3"
"0101";"2018";"0256";"14";"Halden/Remmen";"ITBDES";"3"
"0101";"2018";"0256";"14";"Halden/Remmen";"RLE";"3"
"0101";"2018";"0256";"14";"Halden/Remmen";"S872O";"3"
"0101";"2018";"0256";"15";"Halden/Remmen";"BOKAD";"3"
"0101";"2018";"0256";"15";"Halden/Remmen";"EKSSF";"3"
"0101";"2018";"0256";"15";"Halden/Remmen";"TYP";"3"
