enhet;kode;navn;fylke;fylkesmann;orgnr_fylkesmann
5057 - ØRLAND;5057;ØRLAND;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5058 - ÅFJORD;5058;ÅFJORD;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5020 - OSEN;5020;OSEN;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5021 - OPPDAL;5021;OPPDAL;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5022 - RENNEBU;5022;RENNEBU;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5025 - RØROS;5025;RØROS;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5026 - HOLTÅLEN;5026;HOLTÅLEN;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5027 - MIDTRE GAULDAL;5027;MIDTRE GAULDAL;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5028 - MELHUS;5028;MELHUS;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5029 - SKAUN;5029;SKAUN;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5031 - MALVIK;5031;MALVIK;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5032 - SELBU;5032;SELBU;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5033 - TYDAL;5033;TYDAL;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5034 - MERÅKER;5034;MERÅKER;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5035 - STJØRDAL;5035;STJØRDAL;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5036 - FROSTA;5036;FROSTA;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5037 - LEVANGER;5037;LEVANGER;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5038 - VERDAL;5038;VERDAL;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5041 - SNÅSA;5041;SNÅSA;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5042 - LIERNE;5042;LIERNE;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5043 - RØYRVIK;5043;RØYRVIK;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5044 - NAMSSKOGAN;5044;NAMSSKOGAN;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5045 - GRONG;5045;GRONG;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5046 - HØYLANDET;5046;HØYLANDET;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5047 - OVERHALLA;5047;OVERHALLA;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5049 - FLATANGER;5049;FLATANGER;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5060 - NÆRØYSUND;5060;NÆRØYSUND;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5052 - LEKA;5052;LEKA;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5053 - INDERØY;5053;INDERØY;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5054 - INDRE FOSEN;5054;INDRE FOSEN;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
5061 - RINDAL;5061;RINDAL;TRØNDELAG;Fylkesmannen i Trøndelag;974764350
