,Befolkning,Grunnskoleelever,Videregående elever,Studenter
2015,647676,64319,21342,79336
2016,658390,65906,21575,77479
2017,666759,67209,20771,81248
2018,673469,68255,20979,79336
2019,681071,68925,21244,80217
